觀測時間(hour),氣溫(℃),露點溫度(℃),相對溼度(%),AH(g/m³)
2020-11-19-05,23.9,21.6,87,18.85
2020-11-19-06,23.6,21.5,88,18.754
2020-11-19-07,24.2,21.4,84,18.601
2020-11-19-08,25.8,20.3,72,17.292
2020-11-19-09,27.8,19.7,61,16.55
2020-11-19-10,29.0,19.1,55,15.881
2020-11-19-11,29.9,19.1,52,15.834
2020-11-19-12,30.8,19.5,51,16.185
2020-11-19-13,30.8,19.6,51,16.286
2020-11-19-14,30.3,19.7,53,16.414
2020-11-19-15,29.9,20.6,57,17.376
2020-11-19-16,29.0,20.7,61,17.536
2020-11-19-17,27.8,21.6,69,18.605
2020-11-19-18,27.4,21.7,71,18.744
2020-11-19-19,27.1,21.8,73,18.878
2020-11-19-20,26.7,21.9,75,19.019
2020-11-19-21,26.4,21.2,73,18.24
2020-11-19-22,26.4,21.2,73,18.24
2020-11-19-23,26.5,21.0,72,18.011
2020-11-19-24,26.2,21.2,74,18.252
2020-11-20-01,26.3,21.5,75,18.584
2020-11-20-02,26.2,21.6,76,18.705
2020-11-20-03,25.8,21.9,79,19.076
2020-11-20-04,25.7,22.0,80,19.199
2020-11-20-05,25.5,22.0,81,19.212
2020-11-20-06,25.6,21.9,80,19.089
2020-11-20-07,25.9,21.8,78,18.954
2020-11-20-08,27.0,21.1,70,18.092
2020-11-20-09,28.0,21.6,68,18.593
2020-11-20-10,30.0,20.8,58,17.586
2020-11-20-11,30.9,20.2,53,16.897
2020-11-20-12,31.5,20.2,51,16.864
2020-11-20-13,31.7,21.2,54,17.923
2020-11-20-14,31.1,22.4,60,19.323
2020-11-20-15,30.5,22.5,62,19.479
2020-11-20-16,29.0,21.3,63,18.194
2020-11-20-17,28.4,22.1,69,19.144
2020-11-20-18,27.5,21.8,71,18.853
2020-11-20-19,26.8,22.1,75,19.246
2020-11-20-20,26.8,21.7,74,18.782
2020-11-20-21,26.5,21.9,76,19.032
2020-11-20-22,25.8,21.9,79,19.076
2020-11-20-23,25.5,22.0,81,19.212
2020-11-20-24,25.4,22.2,82,19.454
2020-11-21-01,24.9,22.6,87,19.966
2020-11-21-02,24.9,22.5,87,19.845
2020-11-21-03,24.9,22.8,88,20.21
2020-11-21-04,24.7,22.5,88,19.859
2020-11-21-05,24.6,22.5,88,19.865
2020-11-21-06,24.6,22.3,87,19.625
2020-11-21-07,24.7,22.2,86,19.5
2020-11-21-08,25.1,22.0,83,19.238
2020-11-21-09,26.2,21.9,77,19.051
2020-11-21-10,28.5,21.6,66,18.562
2020-11-21-11,29.8,21.3,60,18.146
2020-11-21-12,30.4,21.9,61,18.787
2020-11-21-13,29.1,22.1,66,19.099
2020-11-21-14,28.6,22.8,71,19.962
2020-11-21-15,28.5,22.5,70,19.609
2020-11-21-16,28.0,22.4,72,19.522
2020-11-21-17,27.2,23.3,79,20.671
2020-11-21-18,26.5,23.4,83,20.844
2020-11-21-19,26.3,23.2,83,20.608
2020-11-21-20,26.3,23.2,83,20.608
2020-11-21-21,26.0,23.8,88,21.388
2020-11-21-22,25.3,23.9,92,21.568
2020-11-21-23,25.1,23.7,92,21.324
2020-11-21-24,25.2,23.8,92,21.446
2020-11-22-01,25.0,23.6,92,21.203
2020-11-22-02,24.7,23.4,92,20.97
2020-11-22-03,24.6,23.1,91,20.601
2020-11-22-04,24.8,23.2,91,20.712
2020-11-22-05,24.5,23.3,93,20.858
2020-11-22-06,24.4,23.2,93,20.74
2020-11-22-07,24.3,22.8,91,20.251
2020-11-22-08,25.0,22.5,86,19.839
2020-11-22-09,26.2,21.8,77,18.935
2020-11-22-10,27.6,21.7,70,18.732
2020-11-22-11,29.0,21.0,62,17.862
2020-11-22-12,29.6,21.1,60,17.937
2020-11-22-13,29.0,21.8,65,18.759
2020-11-22-14,28.2,21.7,68,18.694
2020-11-22-15,27.7,22.0,71,19.072
2020-11-22-16,27.0,21.5,72,18.541
2020-11-22-17,26.2,22.2,79,19.402
2020-11-22-18,25.7,22.4,82,19.672
2020-11-22-19,25.3,22.0,82,19.225
2020-11-22-20,24.8,22.2,85,19.493
2020-11-22-21,24.1,22.2,89,19.539
2020-11-22-22,23.7,22.2,91,19.565
2020-11-22-23,23.7,21.9,90,19.211
2020-11-22-24,23.5,22.0,91,19.342
2020-11-23-01,23.7,21.9,90,19.211
2020-11-23-02,23.5,21.4,88,18.645
2020-11-23-03,23.3,21.3,89,18.544
2020-11-23-04,23.6,21.5,88,18.754
2020-11-23-05,23.3,21.6,90,18.888
2020-11-23-06,22.9,20.8,88,18.008
2020-11-23-07,22.6,20.4,87,17.587
2020-11-23-08,23.4,20.6,84,17.757
2020-11-23-09,24.7,20.2,76,17.249
2020-11-23-10,26.0,20.5,72,17.495
2020-11-23-11,28.2,20.9,65,17.8
2020-11-23-12,28.2,19.9,61,16.735
2020-11-23-13,28.6,19.5,58,16.303
2020-11-23-14,28.6,19.3,57,16.101
2020-11-23-15,27.8,19.9,62,16.757
2020-11-23-16,27.2,20.3,66,17.211
2020-11-23-17,26.3,20.7,71,17.694
2020-11-23-18,25.7,21.8,79,18.966
2020-11-23-19,25.5,21.8,80,18.979
2020-11-23-20,25.3,21.8,81,18.992
2020-11-23-21,24.8,20.9,79,18.003
2020-11-23-22,24.6,21.2,81,18.35
2020-11-23-23,24.2,20.9,82,18.039
2020-11-23-24,24.0,21.2,84,18.387
2020-11-24-01,23.7,20.8,84,17.959
2020-11-24-02,23.7,20.7,83,17.849
2020-11-24-03,23.3,20.5,84,17.654
2020-11-24-04,23.2,20.0,82,17.123
2020-11-24-05,22.8,19.6,82,16.726
2020-11-24-06,22.5,19.5,83,16.639
2020-11-24-07,22.4,19.4,83,16.542
2020-11-24-08,23.6,19.2,76,16.271
2020-11-24-09,25.1,18.6,67,15.594
2020-11-24-10,26.0,18.0,61,14.973
2020-11-24-11,27.3,17.9,57,14.814
2020-11-24-12,28.0,18.6,57,15.444
2020-11-24-13,29.0,19.4,56,16.18
2020-11-24-14,28.8,20.3,60,17.12
2020-11-24-15,27.8,20.4,64,17.283
2020-11-24-16,27.3,20.4,66,17.312
2020-11-24-17,26.7,20.8,70,17.779
2020-11-24-18,25.9,20.5,72,17.501
2020-11-24-19,25.2,20.3,74,17.326
2020-11-24-20,24.7,20.2,76,17.249
2020-11-24-21,24.5,20.5,78,17.583
2020-11-24-22,24.1,20.6,81,17.715
2020-11-24-23,23.8,20.5,82,17.624
2020-11-24-24,23.5,20.5,83,17.642
2020-11-25-01,23.4,20.1,82,17.217
2020-11-25-02,23.1,20.1,83,17.235
2020-11-25-03,22.9,20.1,84,17.246
2020-11-25-04,22.8,19.9,84,17.04
2020-11-25-05,22.8,19.9,84,17.04
2020-11-25-06,22.5,19.7,84,16.847
2020-11-25-07,22.5,19.3,82,16.433
2020-11-25-08,23.8,18.4,72,15.467
2020-11-25-09,25.8,18.7,65,15.655
2020-11-25-10,27.0,18.4,59,15.302
2020-11-25-11,27.9,18.3,56,15.161
2020-11-25-12,28.1,19.0,58,15.829
2020-11-25-13,28.0,19.6,60,16.437
2020-11-25-14,27.8,19.5,61,16.346
2020-11-25-15,27.9,19.8,61,16.648
2020-11-25-16,26.9,20.2,67,17.122
2020-11-25-17,25.5,21.0,76,18.072
2020-11-25-18,24.9,21.4,81,18.558
2020-11-25-19,24.6,21.1,81,18.238
2020-11-25-20,24.0,21.0,83,18.163
2020-11-25-21,24.0,21.3,85,18.5
2020-11-25-22,24.1,21.4,85,18.608
2020-11-25-23,24.2,21.5,85,18.716
2020-11-25-24,23.9,21.8,88,19.081
2020-11-26-01,23.7,22.2,91,19.565
2020-11-26-02,23.5,22.1,92,19.46
2020-11-26-03,23.4,22.1,92,19.466
2020-11-26-04,23.4,22.1,92,19.466
2020-11-26-05,23.2,22.0,93,19.361
2020-11-26-06,23.2,22.0,93,19.361
2020-11-26-07,23.5,21.9,91,19.224
2020-11-26-08,24.6,21.0,80,18.126
2020-11-26-09,26.2,20.7,72,17.7
2020-11-26-10,27.4,18.7,59,15.572
2020-11-26-11,28.1,18.8,57,15.633
2020-11-26-12,28.1,19.6,60,16.432
2020-11-26-13,28.1,20.4,63,17.266
2020-11-26-14,28.0,20.6,64,17.486
2020-11-26-15,27.5,20.5,66,17.407
2020-11-26-16,26.8,20.9,70,17.883
2020-11-26-17,25.9,21.5,77,18.609
2020-11-26-18,25.3,21.6,80,18.761
2020-11-26-19,25.0,22.7,87,20.081
2020-11-26-20,24.3,21.8,86,19.056
2020-11-26-21,24.2,21.9,87,19.179
2020-11-26-22,23.9,22.2,90,19.552
2020-11-26-23,23.6,22.1,91,19.453
2020-11-26-24,23.5,22.4,94,19.818
2020-11-27-01,23.5,22.1,92,19.46
2020-11-27-02,23.5,22.5,94,19.939
2020-11-27-03,23.2,22.0,93,19.361
2020-11-27-04,23.3,21.9,92,19.237
2020-11-27-05,23.0,21.6,92,18.907
2020-11-27-06,22.7,21.5,93,18.811
2020-11-27-07,22.7,20.2,86,17.365
2020-11-27-08,23.6,20.0,80,17.1
2020-11-27-09,24.8,19.5,72,16.511
2020-11-27-10,26.1,19.7,68,16.644
2020-11-27-11,27.6,19.9,63,16.768
2020-11-27-12,27.4,20.0,64,16.883
2020-11-27-13,27.9,19.5,60,16.341
2020-11-27-14,27.9,19.6,61,16.443
2020-11-27-15,27.6,18.9,59,15.757
2020-11-27-16,26.4,19.0,64,15.919
2020-11-27-17,25.4,19.6,70,16.58
2020-11-27-18,23.6,18.9,75,15.969
2020-11-27-19,22.7,18.2,76,15.331
2020-11-27-20,22.0,17.6,76,14.798
2020-11-27-21,21.6,17.4,77,14.632
2020-11-27-22,21.5,17.3,77,14.545
2020-11-27-23,21.4,17.4,78,14.642
2020-11-27-24,21.1,17.5,80,14.75
2020-11-28-01,20.5,17.1,81,14.411
2020-11-28-02,20.2,17.2,83,14.517
2020-11-28-03,20.0,17.4,85,14.712
2020-11-28-04,20.0,17.4,85,14.712
2020-11-28-05,19.9,17.3,85,14.624
2020-11-28-06,19.9,17.3,85,14.624
2020-11-28-07,19.9,17.2,84,14.532
2020-11-28-08,20.9,16.7,77,14.031
2020-11-28-09,22.5,16.6,69,13.867
2020-11-28-10,23.7,16.2,63,13.463
2020-11-28-11,24.9,16.1,58,13.324
2020-11-28-12,26.2,16.8,56,13.87
2020-11-28-13,26.6,16.6,54,13.677
2020-11-28-14,27.4,16.7,52,13.728
2020-11-28-15,27.4,18.3,58,15.186
2020-11-28-16,25.8,18.0,62,14.983
2020-11-28-17,24.6,18.5,69,15.523
2020-11-28-18,23.7,18.3,72,15.376
2020-11-28-19,23.1,18.2,74,15.31
2020-11-28-20,22.3,17.9,76,15.065
2020-11-28-21,21.6,17.6,78,14.818
2020-11-28-22,21.1,17.5,80,14.75
2020-11-28-23,20.6,17.4,82,14.682
2020-11-28-24,20.3,17.1,82,14.421
2020-11-29-01,20.2,17.3,83,14.61
2020-11-29-02,20.0,17.0,83,14.345
2020-11-29-03,19.8,17.0,84,14.354
2020-11-29-04,19.6,16.8,84,14.183
2020-11-29-05,19.5,16.8,84,14.188
2020-11-29-06,19.4,16.8,85,14.193
2020-11-29-07,19.5,16.7,84,14.098
2020-11-29-08,20.3,16.4,78,13.794
2020-11-29-09,22.1,16.4,70,13.71
2020-11-29-10,23.4,16.2,64,13.477
2020-11-29-11,24.3,16.8,63,13.959
2020-11-29-12,25.7,17.2,59,14.25
2020-11-29-13,26.0,16.6,56,13.704
2020-11-29-14,25.3,16.7,59,13.824
2020-11-29-15,24.6,17.1,63,14.213
2020-11-29-16,23.9,17.4,67,14.519
2020-11-29-17,23.2,17.2,69,14.37
2020-11-29-18,22.9,17.1,70,14.294
2020-11-29-19,22.3,17.3,73,14.506
2020-11-29-20,21.7,16.9,74,14.172
2020-11-29-21,21.4,16.6,74,13.918
2020-11-29-22,20.8,16.2,75,13.596
2020-11-29-23,20.5,15.9,75,13.352
2020-11-29-24,20.1,16.0,77,13.456
2020-11-30-01,20.2,16.0,77,13.451
2020-11-30-02,20.0,15.6,76,13.12
2020-11-30-03,19.9,15.7,77,13.209
2020-11-30-04,19.8,15.6,77,13.129
2020-11-30-05,19.8,15.4,76,12.962
2020-11-30-06,20.0,15.6,76,13.12
2020-11-30-07,19.8,15.6,77,13.129
2020-11-30-08,20.3,15.6,74,13.107
2020-11-30-09,20.6,15.6,73,13.094
2020-11-30-10,21.4,16.2,72,13.569
2020-11-30-11,22.2,16.0,68,13.36
2020-11-30-12,23.2,16.1,64,13.4
2020-11-30-13,23.9,16.2,62,13.454
2020-11-30-14,24.3,16.5,62,13.695
2020-11-30-15,24.9,17.2,62,14.288
2020-11-30-16,24.5,16.5,61,13.686
2020-11-30-17,23.2,17.4,70,14.553
2020-11-30-18,23.3,17.7,71,14.826
2020-11-30-19,23.0,17.5,71,14.655
2020-11-30-20,22.7,17.0,70,14.214
2020-11-30-21,21.4,16.1,72,13.482
2020-11-30-22,20.8,16.0,74,13.424
2020-11-30-23,20.3,15.9,76,13.361
2020-11-30-24,20.2,16.1,77,13.537
2020-12-01-01,19.9,16.2,79,13.638
2020-12-01-02,19.8,15.9,78,13.384
2020-12-01-03,19.6,15.9,79,13.393
2020-12-01-04,19.2,15.9,81,13.411
2020-12-01-05,19.2,16.0,82,13.497
2020-12-01-06,18.8,16.1,84,13.602
2020-12-01-07,18.9,15.9,83,13.425
2020-12-01-08,19.9,15.6,76,13.125
2020-12-01-09,21.6,15.5,68,12.966
2020-12-01-10,23.9,15.3,59,12.701
2020-12-01-11,25.6,16.4,57,13.549
2020-12-01-12,26.9,16.5,53,13.577
2020-12-01-13,25.8,16.4,56,13.54
2020-12-01-14,25.8,17.0,58,14.066
2020-12-01-15,26.1,16.7,56,13.787
2020-12-01-16,25.1,17.1,61,14.189
2020-12-01-17,24.6,18.0,67,15.043
2020-12-01-18,24.0,18.0,69,15.073
2020-12-01-19,23.7,17.9,70,14.994
2020-12-01-20,22.6,17.5,73,14.675
2020-12-01-21,21.6,17.9,79,15.101
2020-12-01-22,20.9,17.6,81,14.853
2020-12-01-23,20.4,17.1,81,14.416
2020-12-01-24,20.5,17.2,81,14.503
2020-12-02-01,20.3,17.1,82,14.421
2020-12-02-02,19.3,16.5,84,13.93
2020-12-02-03,19.5,16.5,83,13.92
2020-12-02-04,19.2,16.4,84,13.846
2020-12-02-05,18.9,16.4,85,13.86
2020-12-02-06,18.7,16.0,84,13.52
2020-12-02-07,18.8,15.7,82,13.259
2020-12-02-08,19.9,15.8,77,13.294
2020-12-02-09,21.4,15.9,71,13.311
2020-12-02-10,22.7,15.8,65,13.168
2020-12-02-11,24.6,15.9,58,13.168
2020-12-02-12,25.0,15.5,56,12.818
2020-12-02-13,25.5,15.8,55,13.045
2020-12-02-14,26.3,16.6,55,13.691
2020-12-02-15,25.4,16.6,58,13.732
2020-12-02-16,24.6,16.8,62,13.945
2020-12-02-17,24.0,17.0,65,14.151
2020-12-02-18,23.0,16.5,67,13.756
2020-12-02-19,22.0,16.3,70,13.628
2020-12-02-20,21.5,16.1,71,13.478
2020-12-02-21,21.1,15.6,71,13.071
2020-12-02-22,20.6,15.2,71,12.762
2020-12-02-23,20.2,14.7,71,12.374
2020-12-02-24,19.8,14.4,71,12.153
2020-12-03-01,19.8,14.2,70,11.997
2020-12-03-02,19.3,14.1,72,11.94
2020-12-03-03,19.1,13.8,71,11.718
2020-12-03-04,19.0,13.8,72,11.722
2020-12-03-05,19.1,14.2,73,12.026
2020-12-03-06,19.1,13.9,72,11.794
2020-12-03-07,19.0,14.0,73,11.875
2020-12-03-08,19.6,13.8,69,11.698
2020-12-03-09,20.4,13.4,64,11.366
2020-12-03-10,21.8,14.0,61,11.762
2020-12-03-11,22.0,13.4,58,11.304
2020-12-03-12,23.0,13.4,55,11.266
2020-12-03-13,23.5,13.2,52,11.101
2020-12-03-14,23.6,12.6,50,10.67
2020-12-03-15,22.1,13.4,58,11.301
2020-12-03-16,20.8,13.8,64,11.65
2020-12-03-17,19.9,13.8,68,11.686
2020-12-03-18,19.1,13.3,69,11.342
2020-12-03-19,18.5,12.9,70,11.073
2020-12-03-20,18.2,12.9,71,11.084
2020-12-03-21,18.0,13.1,73,11.238
2020-12-03-22,18.0,12.8,72,11.019
2020-12-03-23,17.7,13.0,74,11.176
2020-12-03-24,18.0,13.3,74,11.385
2020-12-04-01,17.7,13.2,75,11.323
2020-12-04-02,17.6,13.4,76,11.476
2020-12-04-03,17.5,13.2,76,11.331
2020-12-04-04,17.5,13.3,76,11.405
2020-12-04-05,17.6,13.6,77,11.626
2020-12-04-06,17.8,13.9,78,11.847
2020-12-04-07,17.9,14.0,78,11.92
2020-12-04-08,18.4,14.2,77,12.055
2020-12-04-09,19.5,14.2,71,12.009
2020-12-04-10,20.1,14.7,71,12.379
2020-12-04-11,21.2,14.7,66,12.332
2020-12-04-12,22.6,15.0,62,12.513
2020-12-04-13,22.8,15.1,62,12.586
2020-12-04-14,23.2,14.8,59,12.328
2020-12-04-15,23.0,14.6,59,12.178
2020-12-04-16,22.5,14.8,62,12.357
2020-12-04-17,21.7,15.1,66,12.633
2020-12-04-18,20.6,14.9,70,12.518
2020-12-04-19,19.6,14.8,74,12.48
2020-12-04-20,19.0,15.1,78,12.749
2020-12-04-21,18.7,15.0,79,12.681
2020-12-04-22,18.7,14.4,76,12.199
2020-12-04-23,18.8,14.5,76,12.274
2020-12-04-24,18.6,14.5,77,12.283
2020-12-05-01,18.3,14.4,78,12.216
2020-12-05-02,18.3,14.8,80,12.536
2020-12-05-03,18.2,14.7,80,12.459
2020-12-05-04,18.2,14.5,79,12.299
2020-12-05-05,18.1,14.4,79,12.224
2020-12-05-06,18.2,14.7,80,12.459
2020-12-05-07,18.0,14.5,80,12.308
2020-12-05-08,18.7,14.0,74,11.887
2020-12-05-09,20.7,13.9,65,11.73
2020-12-05-10,22.0,14.2,61,11.908
2020-12-05-11,22.9,14.2,58,11.871
2020-12-05-12,23.8,14.9,57,12.383
2020-12-05-13,24.2,15.2,57,12.607
2020-12-05-14,25.3,15.6,55,12.887
2020-12-05-15,24.9,15.8,57,13.071
2020-12-05-16,23.3,16.1,64,13.396
2020-12-05-17,22.1,16.2,69,13.536
2020-12-05-18,21.3,16.6,75,13.923
2020-12-05-19,20.6,16.2,76,13.605
2020-12-05-20,20.2,16.2,78,13.624
2020-12-05-21,19.9,16.0,78,13.465
2020-12-05-22,19.7,15.9,79,13.388
2020-12-05-23,19.3,16.0,81,13.493
2020-12-05-24,19.2,15.8,81,13.326
2020-12-06-01,19.0,16.0,83,13.506
2020-12-06-02,18.8,15.8,83,13.344
2020-12-06-03,18.8,16.0,84,13.516
2020-12-06-04,18.4,16.0,86,13.534
2020-12-06-05,18.0,15.8,87,13.381
2020-12-06-06,17.8,15.8,88,13.39
2020-12-06-07,17.9,15.9,88,13.471
2020-12-06-08,19.1,15.4,79,12.993
2020-12-06-09,20.3,15.5,74,13.023
2020-12-06-10,22.5,15.6,65,13.009
2020-12-06-11,23.5,16.3,64,13.559
2020-12-06-12,25.3,17.1,60,14.179
2020-12-06-13,25.6,17.0,59,14.076
2020-12-06-14,26.0,17.4,59,14.417
2020-12-06-15,25.4,18.1,64,15.097
2020-12-06-16,24.3,18.5,70,15.538
2020-12-06-17,23.5,18.4,73,15.483
2020-12-06-18,22.4,18.2,77,15.347
2020-12-06-19,21.9,18.3,80,15.469
2020-12-06-20,21.6,18.4,82,15.583
2020-12-06-21,21.4,18.4,83,15.593
2020-12-06-22,21.1,18.1,83,15.318
2020-12-06-23,21.1,18.1,83,15.318
2020-12-06-24,20.8,18.2,85,15.43
2020-12-07-01,20.6,18.1,86,15.344
2020-12-07-02,20.4,18.2,87,15.451
2020-12-07-03,20.4,18.1,87,15.355
2020-12-07-04,20.1,18.1,88,15.37
2020-12-07-05,20.1,18.2,89,15.467
2020-12-07-06,19.9,17.9,88,15.189
2020-12-07-07,20.0,17.9,88,15.183
2020-12-07-08,20.8,17.7,82,14.952
2020-12-07-09,22.2,17.8,76,14.976
2020-12-07-10,23.9,18.1,70,15.174
2020-12-07-11,25.1,17.8,64,14.83
2020-12-07-12,25.9,17.8,61,14.79
2020-12-07-13,26.3,18.5,62,15.434
2020-12-07-14,25.2,17.9,64,14.919
2020-12-07-15,25.1,18.3,66,15.303
2020-12-07-16,24.2,18.4,70,15.446
2020-12-07-17,22.8,18.7,78,15.814
2020-12-07-18,21.8,18.6,82,15.768
2020-12-07-19,21.5,18.7,84,15.883
2020-12-07-20,21.3,18.5,84,15.697
2020-12-07-21,21.0,18.4,85,15.614
2020-12-07-22,20.8,18.3,86,15.527
2020-12-07-23,20.8,18.5,87,15.723
2020-12-07-24,20.4,18.4,88,15.646
2020-12-08-01,20.2,18.4,89,15.657
2020-12-08-02,20.0,18.3,90,15.57
2020-12-08-03,19.8,18.1,90,15.386
2020-12-08-04,19.6,18.1,91,15.396
2020-12-08-05,19.6,18.1,91,15.396
2020-12-08-06,19.6,17.9,90,15.204
2020-12-08-07,19.7,17.7,88,15.009
2020-12-08-08,20.3,17.3,83,14.605
2020-12-08-09,20.7,17.0,79,14.31
2020-12-08-10,21.3,17.1,77,14.372
2020-12-08-11,21.7,16.9,74,14.172
2020-12-08-12,22.7,16.9,70,14.124
2020-12-08-13,23.7,16.5,64,13.723
2020-12-08-14,23.4,16.7,66,13.913
2020-12-08-15,23.3,17.7,71,14.826
2020-12-08-16,22.7,17.8,74,14.95
2020-12-08-17,21.1,16.9,77,14.201
2020-12-08-18,20.3,17.2,82,14.512
2020-12-08-19,20.0,16.8,82,14.164
2020-12-08-20,19.6,16.4,82,13.827
2020-12-08-21,19.1,16.1,83,13.588
2020-12-08-22,18.9,16.0,83,13.511
2020-12-08-23,19.1,15.8,81,13.33
2020-12-08-24,19.2,15.9,81,13.411
2020-12-09-01,19.2,15.8,81,13.326
2020-12-09-02,19.1,15.8,81,13.33
2020-12-09-03,18.9,16.0,83,13.511
2020-12-09-04,19.0,16.2,84,13.68
2020-12-09-05,19.1,16.1,83,13.588
2020-12-09-06,19.2,16.3,83,13.758
2020-12-09-07,19.3,16.6,84,14.018
2020-12-09-08,19.5,16.4,82,13.832
2020-12-09-09,20.4,16.9,80,14.234
2020-12-09-10,21.8,16.8,73,14.077
2020-12-09-11,23.1,16.8,68,14.016
2020-12-09-12,23.5,18.2,72,15.29
2020-12-09-13,24.0,18.4,71,15.457
2020-12-09-14,24.0,18.9,73,15.948
2020-12-09-15,23.8,19.3,76,16.362
2020-12-09-16,21.8,19.0,84,16.167
2020-12-09-17,21.2,19.6,91,16.817
2020-12-09-18,20.9,19.8,93,17.044
2020-12-09-19,21.0,19.7,92,16.933
2020-12-09-20,20.4,19.8,96,17.073
2020-12-09-21,20.6,19.9,96,17.168
2020-12-09-22,20.4,19.8,96,17.073
2020-12-09-23,20.5,19.8,96,17.067
2020-12-09-24,20.5,19.7,95,16.962
2020-12-10-01,20.6,19.8,95,17.062
2020-12-10-02,20.7,19.7,94,16.95
2020-12-10-03,20.6,19.6,94,16.851
2020-12-10-04,20.3,19.3,94,16.557
2020-12-10-05,20.4,19.4,94,16.654
2020-12-10-06,20.6,19.6,94,16.851
2020-12-10-07,20.1,19.3,95,16.568
2020-12-10-08,20.2,19.2,94,16.46
2020-12-10-09,21.2,19.2,88,16.404
2020-12-10-10,22.2,19.0,82,16.145
2020-12-10-11,23.1,19.1,78,16.197
2020-12-10-12,24.0,18.9,73,15.948
2020-12-10-13,24.9,19.6,72,16.608
2020-12-10-14,25.0,19.5,72,16.5
2020-12-10-15,23.9,19.5,76,16.561
2020-12-10-16,23.8,19.5,77,16.566
2020-12-10-17,22.8,19.6,82,16.726
2020-12-10-18,22.3,19.7,85,16.858
2020-12-10-19,21.9,19.5,86,16.673
2020-12-10-20,21.5,19.2,87,16.387
2020-12-10-21,21.4,19.3,88,16.495
2020-12-10-22,21.3,19.6,90,16.811
2020-12-10-23,21.1,19.4,90,16.615
2020-12-10-24,20.7,19.3,92,16.534
2020-12-11-01,20.4,19.3,93,16.551
2020-12-11-02,20.3,19.1,93,16.352
2020-12-11-03,20.4,19.2,93,16.448
2020-12-11-04,20.5,19.3,93,16.545
2020-12-11-05,20.6,19.2,92,16.437
2020-12-11-06,20.6,19.2,92,16.437
2020-12-11-07,20.7,19.4,92,16.637
2020-12-11-08,21.1,19.4,90,16.615
2020-12-11-09,21.7,19.3,86,16.478
2020-12-11-10,23.6,19.4,77,16.475
2020-12-11-11,24.9,19.3,71,16.301
2020-12-11-12,26.1,19.6,67,16.541
2020-12-11-13,26.8,19.5,64,16.401
2020-12-11-14,27.0,19.1,62,15.987
2020-12-11-15,26.6,20.0,67,16.929
2020-12-11-16,24.3,19.4,74,16.436
2020-12-11-17,23.5,19.7,79,16.79
2020-12-11-18,22.9,19.7,82,16.824
2020-12-11-19,22.8,19.8,83,16.935
2020-12-11-20,22.4,19.6,84,16.749
2020-12-11-21,21.8,19.5,87,16.679
2020-12-11-22,21.4,19.5,89,16.701
2020-12-11-23,21.2,19.5,90,16.713
2020-12-11-24,20.7,19.2,91,16.431
2020-12-12-01,20.8,19.1,90,16.324
2020-12-12-02,20.7,19.1,91,16.329
2020-12-12-03,20.7,18.8,89,16.027
2020-12-12-04,20.3,18.7,91,15.948
2020-12-12-05,20.4,18.9,91,16.143
2020-12-12-06,20.2,18.7,91,15.954
2020-12-12-07,20.3,18.1,87,15.36
2020-12-12-08,20.7,18.3,86,15.533
2020-12-12-09,21.6,18.6,83,15.779
2020-12-12-10,23.9,18.3,71,15.365
2020-12-12-11,25.3,18.0,64,15.008
2020-12-12-12,25.2,17.9,64,14.919
2020-12-12-13,25.8,17.7,61,14.702
2020-12-12-14,26.4,17.4,58,14.398
2020-12-12-15,26.8,17.6,57,14.561
2020-12-12-16,26.0,17.6,60,14.6
2020-12-12-17,24.5,18.2,68,15.238
2020-12-12-18,22.2,18.3,79,15.454
2020-12-12-19,21.3,17.7,80,14.927
2020-12-12-20,21.0,17.4,80,14.662
2020-12-12-21,20.6,17.4,82,14.682
2020-12-12-22,20.4,17.1,81,14.416
2020-12-12-23,20.5,17.1,81,14.411
2020-12-12-24,20.2,16.8,81,14.154
2020-12-13-01,19.7,16.5,82,13.911
2020-12-13-02,19.6,16.6,83,14.004
2020-12-13-03,19.8,16.5,81,13.906
2020-12-13-04,19.3,16.5,84,13.93
2020-12-13-05,19.3,16.3,83,13.753
2020-12-13-06,19.1,15.9,82,13.416
2020-12-13-07,19.2,16.1,82,13.584
2020-12-13-08,20.0,16.3,79,13.72
2020-12-13-09,21.3,16.3,73,13.66
2020-12-13-10,22.7,16.6,68,13.857
2020-12-13-11,25.6,17.3,60,14.345
2020-12-13-12,27.2,16.9,53,13.912
2020-12-13-13,28.4,16.6,49,13.595
2020-12-13-14,27.7,18.2,56,15.076
2020-12-13-15,25.6,17.5,61,14.528
2020-12-13-16,24.1,17.8,68,14.88
2020-12-13-17,23.5,18.4,73,15.483
2020-12-13-18,22.3,18.1,77,15.256
2020-12-13-19,22.1,18.1,78,15.266
2020-12-13-20,21.7,17.7,78,14.907
2020-12-13-21,21.2,18.2,83,15.409
2020-12-13-22,20.5,17.9,85,15.157
2020-12-13-23,20.0,18.1,89,15.375
2020-12-13-24,20.1,18.4,90,15.662
2020-12-14-01,20.4,18.5,89,15.745
2020-12-14-02,19.2,17.5,90,14.846
2020-12-14-03,19.2,17.8,92,15.129
2020-12-14-04,19.3,18.2,93,15.509
2020-12-14-05,19.2,18.1,93,15.418
2020-12-14-06,18.8,17.6,93,14.96
2020-12-14-07,19.2,17.6,90,14.94
2020-12-14-08,19.8,17.1,84,14.446
2020-12-14-09,20.4,17.0,81,14.325
2020-12-14-10,22.1,17.0,73,14.242
